F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: 0.007431153
y: 0.052603353
z: 0.0403981
","x: 0.024073988
y: 0.029878281
z: 0.024226801
","x: 0.03155992
y: 0.0035211504
z: -0.0018861813
","x: 0.025525497
y: -0.010905014
z: -0.021037938
","x: 0.01266496
y: 0.0004935842
z: -0.0065031974
","x: 0.023298265
y: -0.023189595
z: -0.009683849
","x: 0.03965561
y: -0.03702807
z: -0.0029707027
","x: 0.058574513
y: -0.044145815
z: 0.0076257973
","x: 0.0009420999
y: -0.0015406259
z: -0.005392473
","x: 0.023628267
y: -0.014986191
z: 0.008599708
","x: 0.038692947
y: -0.0072338227
z: 0.029232156
","x: 0.04173685
y: 0.010401154
z: 0.047909647
"
"x: -0.018656941
y: 0.034757614
z: 0.05857235
","x: -0.037179973
y: 0.031139208
z: 0.034479935
","x: -0.037638538
y: 0.03723202
z: -0.018396577
","x: -0.035631645
y: 0.038759846
z: -0.04451403
","x: -0.02626252
y: -0.009203217
z: 0.00068085256
","x: -0.027096048
y: -0.042081006
z: -0.007881246
","x: -0.025862802
y: -0.06379461
z: -0.020827867
","x: -0.018148318
y: -0.07763562
z: -0.043925993
","x: -0.002461995
y: -0.00064910756
z: -0.0019612603
","x: 0.013564491
y: -0.030297454
z: -0.022131123
","x: 0.031186204
y: -0.049522758
z: -0.050517447
","x: 0.038476266
y: -0.068255514
z: -0.09713245
"
"x: 0.0040882006
y: 0.053724416
z: 0.0339188
","x: 0.019574977
y: 0.031954844
z: 0.02165511
","x: 0.02384588
y: 0.005271266
z: 0.0017412219
","x: 0.021064889
y: -0.0140797375
z: -0.014176546
","x: 0.015949871
y: 0.00040365313
z: -0.007001478
","x: 0.029451063
y: -0.018039778
z: -0.0053051314
","x: 0.04421241
y: -0.035175666
z: 0.0017937609
","x: 0.061241195
y: -0.04744635
z: 0.012995122
","x: 0.0018499325
y: -0.0027162388
z: -0.0048567713
","x: 0.022474233
y: -0.020724796
z: 0.004797159
","x: 0.038990416
y: -0.022367423
z: 0.020222537
","x: 0.049685974
y: -0.015588524
z: 0.03406784
"
"x: -0.029941725
y: 0.035231754
z: 0.050459284
","x: -0.045391772
y: 0.016312307
z: 0.035258036
","x: -0.061650023
y: -0.008644386
z: 0.0006482978
","x: -0.07334238
y: -0.03184711
z: -0.014580612
","x: -0.020252021
y: -0.012448609
z: 0.0017258618
","x: -0.017223395
y: -0.04310023
z: -0.0051040337
","x: -0.016395666
y: -0.06444431
z: -0.012834321
","x: -0.010787658
y: -0.085340686
z: -0.037730258
","x: -0.00048948947
y: -0.0054766457
z: -0.0009807111
","x: 0.009603766
y: -0.022399206
z: -0.023849823
","x: 0.021414902
y: -0.03955265
z: -0.046003968
","x: 0.033023838
y: -0.055965595
z: -0.09003339
"
"x: -0.0020828294
y: 0.050604206
z: 0.03658074
","x: 0.01097085
y: 0.027261883
z: 0.02785612
","x: 0.019051902
y: 0.0017032258
z: 0.00917958
","x: 0.019174878
y: -0.016462747
z: -0.0076965564
","x: 0.0066143153
y: -0.00438082
z: -0.0075939633
","x: 0.015905274
y: -0.023854112
z: -0.0040225247
","x: 0.030471405
y: -0.038389906
z: 0.0028796731
","x: 0.04952643
y: -0.042568445
z: 0.01236287
","x: -1.8386461e-05
y: -0.0028352875
z: -0.005752411
","x: 0.02072161
y: -0.020235717
z: 0.0050425758
","x: 0.040647432
y: -0.023544539
z: 0.019555407
","x: 0.048405766
y: -0.019038443
z: 0.036222067
"
"x: -0.028655712
y: 0.038364828
z: 0.050342027
","x: -0.043697342
y: 0.018521376
z: 0.03346059
","x: -0.05672664
y: -0.006947116
z: -0.0011184724
","x: -0.06512992
y: -0.031877235
z: -0.015754364
","x: -0.017637493
y: -0.013072398
z: -3.5531986e-05
","x: -0.013805688
y: -0.043667316
z: -0.008850182
","x: -0.012390962
y: -0.06652337
z: -0.016386699
","x: -0.0072461646
y: -0.08548242
z: -0.041111812
","x: 0.00077292
y: -0.0054894914
z: -0.0017853326
","x: 0.00824016
y: -0.023859452
z: -0.022924798
","x: 0.019246932
y: -0.041712523
z: -0.043146413
","x: 0.030153923
y: -0.05878718
z: -0.08064723
"
"x: -0.029040394
y: 0.040069133
z: 0.04840252
","x: -0.044270318
y: 0.018572234
z: 0.029463755
","x: -0.05714668
y: -0.006892047
z: -0.0037889273
","x: -0.06277939
y: -0.03310502
z: -0.017638756
","x: -0.017600032
y: -0.014616618
z: 0.0006927244
","x: -0.013929319
y: -0.04296416
z: -0.008452494
","x: -0.012313793
y: -0.065109104
z: -0.015454689
","x: -0.0073807836
y: -0.08244334
z: -0.039336383
","x: 0.00087312364
y: -0.006051133
z: -0.0014847937
","x: 0.008700421
y: -0.024192916
z: -0.022931226
","x: 0.018117
y: -0.040034857
z: -0.04420679
","x: 0.027749319
y: -0.056612626
z: -0.08220719
"
"x: -0.0018956745
y: 0.051423572
z: 0.03335282
","x: 0.0140946265
y: 0.029171532
z: 0.02165434
","x: 0.019231066
y: 0.0049730283
z: 0.0017710138
","x: 0.016558949
y: -0.014048349
z: -0.014310341
","x: 0.013948906
y: 0.0015589184
z: -0.0016598607
","x: 0.024718475
y: -0.017347299
z: -0.003356702
","x: 0.039016783
y: -0.03415152
z: 0.0020544652
","x: 0.055768654
y: -0.045131434
z: 0.011249034
","x: 0.0017763099
y: -0.0022645984
z: -0.0031214356
","x: 0.021809906
y: -0.01830206
z: 0.0039640013
","x: 0.03838288
y: -0.01645164
z: 0.013933759
","x: 0.047765728
y: -0.008925229
z: 0.025558824
"
"x: -0.027179178
y: 0.043825336
z: 0.046796255
","x: -0.042532906
y: 0.02137706
z: 0.027322985
","x: -0.0561934
y: -0.003793437
z: -0.005617858
","x: -0.06261998
y: -0.03082195
z: -0.01897024
","x: -0.0165169
y: -0.01407944
z: 0.0009697211
","x: -0.013938758
y: -0.043520153
z: -0.007258498
","x: -0.012744826
y: -0.06510133
z: -0.01438569
","x: -0.007921942
y: -0.08313527
z: -0.03769144
","x: 0.0011108492
y: -0.0064587663
z: -0.0011658772
","x: 0.00664232
y: -0.02500804
z: -0.023232847
","x: 0.0146170035
y: -0.039877653
z: -0.044814877
","x: 0.022918202
y: -0.056497894
z: -0.081493095
"
"x: 0.0016510189
y: 0.0522275
z: 0.03326599
","x: 0.015607714
y: 0.029599397
z: 0.028554942
","x: 0.02418407
y: 0.0035267447
z: 0.011524264
","x: 0.0249012
y: -0.014953246
z: -0.003473897
","x: 0.007123962
y: -0.004647989
z: -0.005994321
","x: 0.01586957
y: -0.025413133
z: -0.0035145814
","x: 0.030850124
y: -0.040228687
z: -7.796022e-05
","x: 0.049916685
y: -0.04640656
z: 0.007132106
","x: 2.3989589e-05
y: -0.0033890835
z: -0.0049753473
","x: 0.022071656
y: -0.018790742
z: 0.005164845
","x: 0.044760223
y: -0.021118037
z: 0.019591508
","x: 0.053461898
y: -0.01336258
z: 0.03619132
"
